Year,Land cover classes,Total
1988,Artificial surfaces,70951
1988,Cultivated terrestrial vegetated: Herbaceous,38345581
1988,Cultivated terrestrial vegetated: Woody,1109763
1988,Natural terrestrial vegetated: Herbaceous,19428050
1988,Natural terrestrial vegetated: Woody,16018484
1988,Natural surfaces,4425063
1988,Natural aquatic vegetated: Herbaceous,200
1988,Natural aquatic vegetated: Woody,8244
1988,Water: Perennial,187648
1988,Water: Non-perennial,471165
1988,Tidal area,11124
1989,Artificial surfaces,65493
1989,Cultivated terrestrial vegetated: Herbaceous,32235390
1989,Cultivated terrestrial vegetated: Woody,1234319
1989,Natural terrestrial vegetated: Herbaceous,23941986
1989,Natural terrestrial vegetated: Woody,17213892
1989,Natural surfaces,4401554
1989,Natural aquatic vegetated: Herbaceous,247
1989,Natural aquatic vegetated: Woody,8069
1989,Water: Perennial,235015
1989,Water: Non-perennial,721820
1989,Tidal area,10962
1990,Artificial surfaces,69799
1990,Cultivated terrestrial vegetated: Herbaceous,33772064
1990,Cultivated terrestrial vegetated: Woody,1565911
1990,Natural terrestrial vegetated: Herbaceous,20599563
1990,Natural terrestrial vegetated: Woody,17742398
1990,Natural surfaces,4664969
1990,Natural aquatic vegetated: Herbaceous,142
1990,Natural aquatic vegetated: Woody,8161
1990,Water: Perennial,295389
1990,Water: Non-perennial,1333217
1990,Tidal area,11145
1991,Artificial surfaces,90426
1991,Cultivated terrestrial vegetated: Herbaceous,28986568
1991,Cultivated terrestrial vegetated: Woody,539265
1991,Natural terrestrial vegetated: Herbaceous,26353648
1991,Natural terrestrial vegetated: Woody,14984486
1991,Natural surfaces,8532333
1991,Natural aquatic vegetated: Herbaceous,202
1991,Natural aquatic vegetated: Woody,8045
1991,Water: Perennial,306563
1991,Water: Non-perennial,263599
1991,Tidal area,11096
1992,Artificial surfaces,86154
1992,Cultivated terrestrial vegetated: Herbaceous,21495628
1992,Cultivated terrestrial vegetated: Woody,863297
1992,Natural terrestrial vegetated: Herbaceous,26183765
1992,Natural terrestrial vegetated: Woody,14980999
1992,Natural surfaces,15927878
1992,Natural aquatic vegetated: Herbaceous,163
1992,Natural aquatic vegetated: Woody,8200
1992,Water: Perennial,227453
1992,Water: Non-perennial,285316
1992,Tidal area,11125
1993,Artificial surfaces,83271
1993,Cultivated terrestrial vegetated: Herbaceous,22372358
1993,Cultivated terrestrial vegetated: Woody,854364
1993,Natural terrestrial vegetated: Herbaceous,29975601
1993,Natural terrestrial vegetated: Woody,16829056
1993,Natural surfaces,9318854
1993,Natural aquatic vegetated: Herbaceous,117
1993,Natural aquatic vegetated: Woody,8181
1993,Water: Perennial,277018
1993,Water: Non-perennial,344374
1993,Tidal area,11222
1994,Artificial surfaces,86367
1994,Cultivated terrestrial vegetated: Herbaceous,21883774
1994,Cultivated terrestrial vegetated: Woody,296260
