Year,Land cover classes,Total
1988,Artificial surfaces,72291
1988,Natural surfaces,240668
1989,Artificial surfaces,77057
1989,Natural surfaces,142933
1990,Artificial surfaces,74454
1990,Natural surfaces,123284
1991,Artificial surfaces,88378
1991,Natural surfaces,208631
1992,Artificial surfaces,86584
1992,Natural surfaces,161523
1993,Artificial surfaces,85549
1993,Natural surfaces,140940
1994,Artificial surfaces,83991
1994,Natural surfaces,404821
1995,Artificial surfaces,91007
1995,Natural surfaces,210822
1996,Artificial surfaces,83998
1996,Natural surfaces,315784
1997,Artificial surfaces,102936
1997,Natural surfaces,406547
1998,Artificial surfaces,95321
1998,Natural surfaces,424405
1999,Artificial surfaces,93450
1999,Natural surfaces,198599
2000,Artificial surfaces,82848
2000,Natural surfaces,149091
2001,Artificial surfaces,88489
2001,Natural surfaces,246254
2002,Artificial surfaces,108284
2002,Natural surfaces,497376
2003,Artificial surfaces,103847
2003,Natural surfaces,546117
2004,Artificial surfaces,110183
2004,Natural surfaces,437324
2005,Artificial surfaces,111713
2005,Natural surfaces,398803
2006,Artificial surfaces,127300
2006,Natural surfaces,540211
2007,Artificial surfaces,135176
2007,Natural surfaces,484215
2008,Artificial surfaces,140714
2008,Natural surfaces,810595
2009,Artificial surfaces,140714
2009,Natural surfaces,810595
2010,Artificial surfaces,124216
2010,Natural surfaces,197801
2011,Artificial surfaces,124245
2011,Natural surfaces,153080
2012,Artificial surfaces,136917
2012,Natural surfaces,384074
2013,Artificial surfaces,136517
2013,Natural surfaces,261019
2014,Artificial surfaces,135335
2014,Natural surfaces,354680
2015,Artificial surfaces,154695
2015,Natural surfaces,401167
2016,Artificial surfaces,147103
2016,Natural surfaces,247512
2017,Artificial surfaces,144743
2017,Natural surfaces,190218
2018,Artificial surfaces,160848
2018,Natural surfaces,397601
2019,Artificial surfaces,163008
2019,Natural surfaces,612131
2020,Artificial surfaces,156960
2020,Natural surfaces,371371
2021,Artificial surfaces,152294
2021,Natural surfaces,326750
2022,Artificial surfaces,158734
2022,Natural surfaces,163165
2023,Artificial surfaces,158885
2023,Natural surfaces,126129
2024,Artificial surfaces,162712
2024,Natural surfaces,334393
