States_and_territories,Land_cover_classes,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Victoria,Artificial surfaces," 72,291 "," 77,057 "," 74,454 "," 88,378 "," 86,584 "," 85,549 "," 83,991 "," 91,007 "," 83,998 "," 102,936 "," 95,321 "," 93,450 "," 82,848 "," 88,489 "," 108,284 "," 103,847 "," 110,183 "," 111,713 "," 127,300 "," 135,176 "," 140,714 "," 140,714 "," 124,216 "," 124,245 "," 136,917 "," 136,517 "," 135,335 "," 154,695 "," 147,103 "," 144,743 "," 160,848 "," 163,008 "," 156,960 "," 152,294 "," 158,734 "," 158,885 "," 162,712 "
Victoria,Cultivated terrestrial vegetated: Herbaceous," 11,554,296 "," 10,914,978 "," 11,219,470 "," 11,258,660 "," 9,717,288 "," 7,979,180 "," 8,293,095 "," 11,328,268 "," 9,393,315 "," 9,864,356 "," 10,772,891 "," 7,005,228 "," 9,549,575 "," 8,794,503 "," 8,164,015 "," 7,826,848 "," 7,774,736 "," 7,142,473 "," 7,777,946 "," 9,607,512 "," 6,898,663 "," 6,898,663 "," 7,449,663 "," 5,429,867 "," 8,487,814 "," 9,048,338 "," 7,895,098 "," 7,300,790 "," 9,052,116 "," 7,672,741 "," 6,990,653 "," 8,886,496 "," 9,224,817 "," 7,688,465 "," 9,893,275 "," 8,832,784 "," 6,906,120 "
Victoria,Cultivated terrestrial vegetated: Woody," 276,565 "," 515,078 "," 566,618 "," 317,981 "," 747,608 "," 275,417 "," 203,369 "," 753,098 "," 483,138 "," 271,414 "," 279,947 "," 85,053 "," 380,096 "," 406,846 "," 174,612 "," 125,468 "," 114,610 "," 77,185 "," 61,361 "," 109,503 "," 29,411 "," 29,411 "," 147,225 "," 172,264 "," 612,833 "," 234,252 "," 115,317 "," 107,521 "," 192,781 "," 179,869 "," 153,309 "," 156,808 "," 325,979 "," 221,750 "," 856,803 "," 703,652 "," 312,703 "
Victoria,Natural terrestrial vegetated: Herbaceous," 3,455,290 "," 3,576,918 "," 2,995,945 "," 3,633,009 "," 4,167,072 "," 6,251,601 "," 5,942,803 "," 2,528,451 "," 4,414,691 "," 4,709,318 "," 3,819,592 "," 7,756,927 "," 4,499,530 "," 4,825,698 "," 5,912,140 "," 6,852,471 "," 6,707,057 "," 7,244,753 "," 7,210,041 "," 5,428,246 "," 8,132,577 "," 8,132,577 "," 7,183,227 "," 8,062,399 "," 4,609,938 "," 5,204,884 "," 6,777,348 "," 7,397,795 "," 5,658,897 "," 6,454,816 "," 7,227,012 "," 5,532,325 "," 4,862,536 "," 6,338,208 "," 3,372,027 "," 4,482,771 "," 6,720,775 "
Victoria,Natural terrestrial vegetated: Woody," 6,792,190 "," 7,085,477 "," 7,351,461 "," 6,861,073 "," 7,406,361 "," 7,594,090 "," 7,474,131 "," 7,414,836 "," 7,614,391 "," 7,068,541 "," 7,074,040 "," 7,349,477 "," 7,806,213 "," 8,117,111 "," 7,652,550 "," 7,049,641 "," 7,368,865 "," 7,543,369 "," 6,840,690 "," 6,773,836 "," 6,552,483 "," 6,552,483 "," 7,364,969 "," 8,434,063 "," 8,175,196 "," 7,564,975 "," 7,214,581 "," 7,163,379 "," 7,142,506 "," 7,815,000 "," 7,572,209 "," 7,158,114 "," 7,559,065 "," 7,750,153 "," 7,952,238 "," 8,106,461 "," 8,027,434 "
Victoria,Natural surfaces," 240,668 "," 142,933 "," 123,284 "," 208,631 "," 161,523 "," 140,940 "," 404,821 "," 210,822 "," 315,784 "," 406,547 "," 424,405 "," 198,599 "," 149,091 "," 246,254 "," 497,376 "," 546,117 "," 437,324 "," 398,803 "," 540,211 "," 484,215 "," 810,595 "," 810,595 "," 197,801 "," 153,080 "," 384,074 "," 261,019 "," 354,680 "," 401,167 "," 247,512 "," 190,218 "," 397,601 "," 612,131 "," 371,371 "," 326,750 "," 163,165 "," 126,129 "," 334,393 "
Victoria,Natural aquatic vegetated: Herbaceous, 291 , 256 , 228 , 234 , 298 , 137 , 142 , 140 , 111 , 257 , 292 , 141 , 103 , 76 , 101 , 204 , 169 , 116 , 172 , 101 , 132 , 132 , 194 , 83 , 86 , 79 , 106 , 102 , 95 , 133 , 269 , 241 , 207 , 127 , 150 , 155 , 193 
Victoria,Natural aquatic vegetated: Woody," 1,098 "," 1,096 "," 1,049 "," 1,104 "," 1,190 "," 1,189 "," 1,152 "," 1,148 "," 1,174 ", 936 ," 1,134 "," 1,202 "," 1,180 "," 1,193 "," 1,184 ", 935 ," 1,177 "," 1,190 "," 1,203 "," 1,177 "," 1,084 "," 1,084 "," 1,201 "," 1,210 "," 1,077 "," 1,193 "," 1,174 "," 1,194 "," 1,185 "," 1,196 "," 1,200 "," 1,189 "," 1,192 "," 1,190 "," 1,204 "," 1,210 "," 1,219 "
Victoria,Water: Perennial," 153,412 "," 188,604 "," 184,023 "," 175,489 "," 147,140 "," 211,541 "," 192,354 "," 162,422 "," 167,049 "," 170,413 "," 152,997 "," 143,195 "," 144,266 "," 139,288 "," 139,575 "," 103,837 "," 82,558 "," 124,120 "," 81,166 "," 90,547 "," 96,209 "," 96,209 "," 96,942 "," 220,521 "," 189,694 "," 154,014 "," 126,795 "," 120,349 "," 107,916 "," 161,305 "," 136,481 "," 115,671 "," 120,140 "," 131,551 "," 152,609 "," 203,435 "," 177,126 "
Victoria,Water: Non-perennial," 193,372 "," 232,508 "," 218,997 "," 193,676 "," 299,157 "," 197,506 "," 141,542 "," 247,073 "," 223,449 "," 132,725 "," 110,940 "," 107,102 "," 125,386 "," 115,057 "," 88,112 "," 131,304 "," 144,243 "," 96,759 "," 100,690 "," 110,168 "," 78,392 "," 78,392 "," 174,359 "," 141,333 "," 130,277 "," 133,272 "," 118,463 "," 93,096 "," 190,275 "," 119,421 "," 100,041 "," 114,663 "," 118,249 "," 129,191 "," 187,626 "," 121,789 "," 95,578 "
