,Artificial surfaces,Cultivated terrestrial vegetated: Herbaceous,Cultivated terrestrial vegetated: Woody,Natural terrestrial vegetated: Herbaceous,Natural terrestrial vegetated: Woody,Natural surfaces,Natural aquatic vegetated: Herbaceous,Natural aquatic vegetated: Woody,Water: Perennial,Water: Non-perennial,Tidal area,No data
Opening stock 2019,"163,008 ","8,886,496 ","156,808 ","5,532,325 ","7,158,114 ","612,131 ",241 ,"1,189 ","115,671 ","114,663 ","8,346 ",644 
Artificial surfaces,.. ,-870 ,"7,092 ","-8,045 ","3,957 ","-1,712 ",2 ,- ,-33 ,-66 ,- ,-30 
Cultivated terrestrial vegetated: Herbaceous,870 ,.. ,"55,927 ","1,955,822 ","56,277 ","-101,056 ",-1 ,2 ,"8,497 ","3,748 ",-3 ,292 
Cultivated terrestrial vegetated: Woody,"-7,092 ","-55,927 ",.. ,"-58,881 ","-33,580 ",-742 ,-1 ,-1 ,406 ,-283 ,-3 ,209 
Natural terrestrial vegetated: Herbaceous,"8,045 ","-1,955,822 ","58,881 ",.. ,"841,031 ","-163,092 ",- ,2 ,"10,999 ","10,789 ",7 ,710 
Natural terrestrial vegetated: Woody,"-3,957 ","-56,277 ","33,580 ","-841,031 ",.. ,"-6,971 ",- ,- ,"1,506 ","2,982 ",21 ,826 
Natural surfaces,"1,712 ","101,056 ",742 ,"163,092 ","6,971 ",.. ,1 ,- ,"4,286 ",-163 ,3 ,40 
Natural aquatic vegetated: Herbaceous,-2 ,1 ,1 ,- ,- ,-1 ,.. ,- ,- ,-7 ,54 ,2 
Natural aquatic vegetated: Woody,- ,-2 ,1 ,-2 ,- ,- ,- ,.. ,-1 ,-24 ,-2 ,- 
Water: Perennial,33 ,"-8,497 ",-406 ,"-10,999 ","-1,506 ","-4,286 ",- ,1 ,.. ,"-35,793 ",-1 ,- 
Water: Non-perennial,66 ,"-3,748 ",283 ,"-10,789 ","-2,982 ",163 ,7 ,24 ,"35,793 ",.. ,27 ,241 
Tidal area,- ,3 ,3 ,-7 ,-21 ,-3 ,-54 ,2 ,1 ,-27 ,.. ,3 
No data,30 ,-292 ,-209 ,-710 ,-826 ,-40 ,-2 ,- ,- ,-241 ,-3 ,.. 
Closing stock 2024,"162,712 ","6,906,120 ","312,703 ","6,720,775 ","8,027,434 ","334,393 ",193 ,"1,219 ","177,126 ","95,578 ","8,446 ","2,938 "
Net change,-296 ,"-1,980,375 ","155,895 ","1,188,450 ","869,320 ","-277,739 ",-48 ,31 ,"61,454 ","-19,084 ",100 ,"2,293 "
